Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Great organization""","Nov 17, 2014",5.0,Former Employee,Anonymous Employee,"Washington, DC",Recommends,Positive Outlook,I worked at Google full-time (More than a year),"You can't beat it. I worked here for a year, in one of the smaller east coast offices. The greatest benefit, other than a great working environment, is the opportunity for personal and professional growth. If you can make it happen, Google will give you the resources to make it happen.","It's a huge company, lower level position can sometimes be out of the loop. Internal communications is not always done most efficiently.",
"""Great company to work for""","Dec 6, 2014",4.0,Current Employee,Anonymous Employee,,Recommends,Neutral Outlook,Approves of CEO,"Great perks, great impact, great scale","Becoming a big company, no longer a place for fast innovation",
"""Help full""","Dec 7, 2014",4.0,Current Employee,Visa Consultant,"New York, NY",Recommends,Neutral Outlook,,You assist people whom are traveling to India. You also learn the procedure for international travel.,Start up companies can be a bit of a hasel in regards to stability,
"""Team-dependant""","Dec 7, 2014",3.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"Great perks, smart people constantly around, building the future, PTO is generous","if you get stuck on a horrible team, your product can just get dumped in the trash after years of hard-working (seen it in person to some PMs)",
"""software engr""","Dec 5, 2014",4.0,Current Employee,Anonymous Employee,,,,,"good management, perks, salary :)",I don't think there are any cons,
"""Short but sweet""","Nov 20, 2014",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time,Solid benefits and very smart people with amazing location and campus,Red tap and bureaucracy with management in marketing,
"""A nice company""","Dec 4, 2014",4.0,Current Employee,Database Administrator,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),You work over the internet. How cool,Sometimes you are surfing too much.,
"""good salary, good benefit""","Dec 2, 2014",4.0,Current Employee,Programmer,,,,I have been working at Google full-time (More than 3 years),"good salary, good benefit, good bonus",Hard to get internal promotion,
"""Good work environment, good pay, great perks""","Nov 29, 2014",4.0,Former Employee,Software Engineer,"New York, NY",Recommends,Positive Outlook,- Your experience will depend on your team. I've heard wildly different stories of Google experiences from people on different teams.,"- People are smart, projects are generally intellectually stimulating for engineers",- Things move pretty slowly. Projects can take years to ship.,
"""Awesome company""","Dec 4, 2014",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Lot of projects getting scrapped,Smart Peers,Can take time to get things done,
"""Not overrated""","Nov 15, 2014",5.0,Current Employee,Account Executive,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Great food, perks, and work life balance. Along with amazingly smart and ambitious coworkers, tons of resources, cutting edge products, you can't go wrong",Big company feel at times.,
"""great place but ...""","Dec 6, 2014",4.0,Current Employee,Anonymous Employee,,Recommends,Negative Outlook,free foods!,"lots of talents, tech savvy.","well , it's becoming a huge company and overwhelmed somehow with some unskillful south asians.",
"""Great!""","Nov 13, 2014",5.0,Current Employee,Program Manager II,"Mountain View, CA",Recommends,Neutral Outlook,I have been working at Google full-time (Less than a year),Respect for work life balance is prevalent and very much upheld. Management genuinely cares if you're feeling overloaded and expects you to push back when you're not able to handle your workload.,Unstructured environment provides freedom but a lot of confusion and redundancy as x-team communication is poor.,
"""Great place to work for""","Dec 3, 2014",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"Amazing company!!!wonderful staff to work with. A lot of room to learn and grow! Casual wear and very intelligent people to work with, and its a completely different feeling and an honor to work with Google!","None, no company can outshine Goolge.",
"""Awesome""","Nov 17, 2014",5.0,Current Employee,Software Engineer,"Los Angeles, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),Best office in the world !,None cons in this google !,
"""good""","Nov 30, 2014",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,No opinion of CEO,many pros it was a great company,none such a great company to work for,
"""BEst""","Nov 20, 2014",5.0,Current Employee,Software Engineer,"Los Angeles, CA",Doesn't Recommend,Positive Outlook,I have been working at Google full-time (More than a year),Everything is as good as it is in this company,nothing is a bad in this company,
"""eh""","Nov 27, 2014",3.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,No opinion of CEO,"cool culture, everyone is young.","none really, some condescending people.",
"""Great Place To Work""","Nov 11, 2014",5.0,Former Employee,Account Executive,,Recommends,Positive Outlook,,"Great culture, tons of mobility, work hard = huge opportunities, it's a great starting place for any career. Highly suggest working there.","Expectation is to perform. If you're looking to coast, Google is not a good place. The best rise to the top so get ready to work hard.",
"""Great place""","Nov 13, 2014",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 8 years),Benefits. Amazing coworkers. Great place for people with families.,Scale - the company has grown a lot. Commute is bad from everywhere.,
"""amazing place""","Oct 30, 2014",5.0,Current Employee,Software Engineer,"Mountain View, CA",,,I have been working at Google full-time (More than a year),"Respects employees, smart and caring colleagues, lots of freedom",Should work and improve the hiring process,
"""Senior Software Engineer""","Nov 13, 2014",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Top-tier company in all areas. Great benefit, work-life balance, and highly motivated company.",It's becoming bigger and bigger. I would rather it stays small but with great momentum. More people does not mean more efficient.,
"""It's like being back in College again times going to Disneyland everyday""","Oct 2, 2014",5.0,Current Employee,Business Analyst,"Mountain View, CA",Recommends,Positive Outlook,Show More,Free.Food.NOM.,"As the company grows promotions are harder and internal politics increases. Interview process is very long (I had 14 interviews and it took months). But hands down it is still the best company to work for in the whole world, period.",
"""An extraordinary company with seemingly limitless resources investing in so many bleeding-edge areas""","Nov 15, 2014",4.0,Current Employee,Account Executive,"Los Angeles, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"Unbelievable perks, brilliant minds, lots of opportunity to learn new things in an ever-evolving environment.","Hard to move up, very political at times, career advancement not always based on merit alone.",
"""It's Google""","Nov 10, 2014",5.0,Current Employee,Anonymous Employee,,,,,So many things in Google are free,Google is relatively too big now,
"""Fantastic Room for Growth""","Nov 9, 2014",5.0,Current Employee,Business Development Manager,"Mountain View, CA",Recommends,Positive Outlook,Benefits,Interesting Problem,"Despite being an extremely competitive place to get a job, the compensation is astronomical.",
"""energizing work environment with an emphasis on innovation and creativity""","Nov 10, 2014",5.0,Current Employee,People Operations Associate,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"amazing benefits, generous vacation policy, internal educational opportunities, challenging and impactful work opportunities, creative work environment","becoming too big, difficult to see precisely how and where you're creating/having impact, unclear career ladder, grunt work for new hires",
"""Ask a stylist app""","Dec 15, 2014",1.0,Former Employee,Stylist Consultant,,Doesn't Recommend,Negative Outlook,No opinion of CEO,the management girls are nice and appreciative,"horrible management, no training, too many people and not enough hours to work",
"""It's the best company I've ever worked for in the 38 years since I graduated college.""","Oct 28, 2014",5.0,Current Employee,Systems Administrator,"Cambridge, MA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Very smart people, outstanding benefits and perks, excellent salaries, and lots of opportunity to do what you love. Everything you've heard about working for Google is true.","It's starting to become a little less firm in its moral stances and starting to bend with the prevailing political winds a little too much. In other words, it's starting to behave more like a multi-billion dollar international corporation than a passionate silicon valley technological trail breaker.",
"""The People Make this Place Great!""","Nov 3, 2014",5.0,Current Employee,Account Manager,"Chicago, IL",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"Incredible company full of smart, motivated employees. I've rarely encountered disgruntled employees grumbling to each other at the water cooler. Everyone is passionate about their personal hobbies and brings their A game to work every day.","It's a flat organization, which means it's difficult to get promoted or get a fancy title.",
"""One of the best large companies to work for""","Nov 6, 2014",5.0,Current Employee,Staff Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,Too large. Hard to get noticed unless you are a rockstar.,Choice and quality of work.,You compete against the best. So harder to grow.,
"""Summer""","Nov 7, 2014",5.0,Current Employee,Anonymous Employee,,,,,"Google interns get paid more than most full-time employees across the country. According to Glassdoor, the average Google intern makes $5,678 per month, or $68,136 per year.","Any , perhaps to earn less than in a big investment bank but not every one car become a trader or a banker",
"""Amazing opportunity to learn, becoming so bureaucratic""","Nov 7, 2014",5.0,Current Employee,Product Manager,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Great benefits, culture, lots of interesting projects","Becoming so slow, that if you're not Director & above, it's very hard to get things done.",
"""Incredible. Like college all over again.""","Oct 23, 2014",5.0,Current Employee,Technical Recruiter,"Mountain View, CA",Recommends,Positive Outlook,"Working at Google is like being on a huge college campus with tons of brilliant people all working together and having fun doing it. The ambience is like its own planet. Intelligence is embraced, and you get autonomy to try new things and the resources to learn everyday.",Brilliant people.,"None, if you work hard consistently. Problems only occur when you're not.",
"""Awesome company, but sales organization is not what it used to be""","Nov 10, 2014",4.0,Former Employee,Sales Director,"New York, NY",Recommends,Positive Outlook,I worked at Google full-time (More than 8 years),"Great culture, smart people, innovative company, excellent perks, solid salaries","Overrun by McKinsey consultants, sales culture is not ""fun,"" executive management keeps people on their heels, not their toes",
"""Amazing Place to Work""","Oct 30, 2014",5.0,Former Employee,Software Engineer II,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),"Incredible people, amazing tools, fantastic scale - and of course there are great things too like free food, and other perks",It's harder to make a big impact now that the company is so large,
"""Awesome""","Nov 2, 2014",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,- Great work/life balance,"- Enlightened, capable leadership","- In some parts of the company, can start to feel like a 'big company'",
"""Work for a company that is changing the world""","Nov 16, 2014",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time (More than 5 years),Love working for a company that is changing the world. My colleagues were all smart and sharp.,Career development is difficult depending on role.,
"""interview process""","Nov 13, 2014",3.0,Former Employee,Software Engineer,"Foster City, CA",,,I worked at Google full-time (More than a year),good transparency and timely interview process,need some time think this one,
"""Great culture, perks and talent but poor performance measurement and promotion process""","Oct 20, 2014",4.0,Former Employee,Associate Account Strategist,"Ann Arbor, MI",Recommends,Negative Outlook,Metrics are used to track performance to a tee - at least 8 different metrics were added to performance assessment in the span of 6 months,Talented and bright coworkers,Political in terms of promotion,
"""Best place to work""","Oct 23, 2014",5.0,Current Employee,Anonymous Employee,,Recommends,,I have been working at Google full-time (More than a year),Company cares how employees feel.,Many opportunities are only available in Mountain View.,
"""Great place to work""","Oct 28, 2014",5.0,Former Employee,Software Engineer,"Mountain View, CA",Recommends,Neutral Outlook,I worked at Google full-time (More than 5 years),"the people are wonderful, you learn a lot from them.",gotten more corporate. lots of people to convince to make substantial changes.,
"""amazing""","Oct 28, 2014",5.0,Former Employee,Developer,"San Francisco, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 8 years),Best benefits for employees in the market for technology industry,Located close to big cities,
"""Great experience.""","Oct 29, 2014",5.0,Former Employee,Anonymous Employee,,,,,"Good vibes, good people, good benefits",Cannot honestly think of a single one,
"""I can say that one of the most great things here is the smart people""","Nov 11, 2014",4.0,Current Employee,Software Engineer III,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),Great work-life balance with adequate opportunity for career development,You can feel that it's a really big company now - difficult to advance & a lot of red tape,
"""Seven wonderful years at Google.""","Oct 14, 2014",5.0,Former Employee,Staff Software Engineer,"Atlanta, GA",Recommends,Positive Outlook,"#2 it can be very demanding and ask a lot of you, require long hours sometimes","#1 work with the most talented, driven, amazing, and nice people who will make you better","#1 performance matters, you will have to work hard, work smart, and grow",
"""Adecco at Google""","Nov 10, 2014",3.0,Current Employee,Anonymous Employee,,Recommends,,,"Good pay, working for Google","Traveling-lot of it all the time, bad if you are married and have a family",
"""Marketing a new product at Google""","Nov 10, 2014",3.0,Current Employee,Marketing Specialist,"Mountain View, CA",Doesn't Recommend,Positive Outlook,I have been working at Google full-time (More than a year),"Amazing perks, seriously. I forgot my wallet at home for an entire week and never noticed until the weekend. Everything is onsite at Google. Challenging work environment where you can learn an insane amount and interact with extremely bright individuals. Having Google on your resume opens A LOT of doors.","Wildly disorganized to the point where your team, product + general efficiency suffers.So you remain frustrated. HR treats employees extremely poorly. Very difficult to get promoted. Absolutely no work-life balance whatsoever. I thought this was the dream, but was very disappointed in my experience at Google.",
"""Great work environment""","Nov 9, 2014",4.0,Current Employee,Software Developer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time,"The perks - plenty of food, massages, shuttle, library, gifts, etc. Extremely smart co-workers to learn from. Lots of teams working on diverse projects, so you can switch things up every so often. CEO and leadership has grand visions for the future of the company.","While the salary looks high, it actually isnt so great once you factor in taxes and housing prices of the Bay Area.",
"""good, but not for everyone""","Nov 9, 2014",4.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time (More than 3 years),"young, smart, creative, energetic people. i felt very supported by my manager and was encouraged to find tasks that i could excel at. however, it is important to note that not every manager is like that and some groups had very difficult and close-minded management styles.","benefits lead to a lot of entitlement among Google employees. not only does this have an impact on workplace expectations and dynamics, it also affects the larger communities within which Google employees operate. also it is important to remember that as much ""good"" as Google does, it is a for profit company that makes its revenue selling ads. it might be worth billions now, but that continues to be its bottom line.",
"""Act on Employee Feedback - People managers w/ approval ratings ess than 50% YoY should not manage""","Nov 8, 2014",2.0,Current Employee,Business Role,"Mountain View, CA",Doesn't Recommend,Neutral Outlook,Show More,1) Food: Great food options. The chicken taste bland 50% of the time but it's free food. Micro Kitchen always well stocked.,"1) Org Changes: 'How Google Works,' by Eric Schmidt and Jonathan Rosenberg does not reflect Google reality. Reorgs take 6+ month and no decision gets made. Resulting in people being idle. Not every manager supports 20% projects.",
"""Very challenging yet rewarding experience thus far""","Oct 21, 2014",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Good perks, challenging work, opportunities to improve and advance within the company, working with smartest people.",Google is proud of its startup-like environment and that comes with hectic and chaotic work at times. Promotion can be tough.,
"""Product Manager""","Oct 21, 2014",5.0,Former Employee,Product Manager,"San Francisco, CA",Recommends,Positive Outlook,"- if you're ever bored of your current role, there are plenty of new projects and interesting teams to jump onto",- smart teammates,"- if you're in the wrong team with a poor VP or director, you'll see a lack of vision and a waffling product roadmap",
"""Great Infrastructure""","Oct 25, 2014",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),Tons of great systems to use internally. A lot of fun for building services.,I didn't notice anything bad.,
"""Fast-paced, exciting company with incredibly talented colleagues""","Nov 5, 2014",4.0,Former Employee,Communications Associate,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than a year),"The perks were unbelievable from the high-quality free food, company trips, extravagant parties, guest speakers and celebrities, and more. Constantly surrounded by some of the smartest people in the world.","Very tough for work/life balance. Difficult to navigate given the large, fast-growing corporate culture. Some very arrogant colleagues that weren't always collaborative and made the culture cut-throat at times.",
"""Awesome company, great coworkers, great company overall.""","Oct 21, 2014",5.0,Current Employee,Software Engineer,"Mountain View, CA",Doesn't Recommend,Neutral Outlook,I have been working at Google full-time (More than 5 years),"It is a really cool environment, I saw my self learning a lot, and you get payed good!","Of course you do have the information of the world in your hands, this can put some pressure on you.",
"""Google Government""","Nov 6, 2014",3.0,Former Employee,Federal Sales,"Reston, VA",Recommends,Positive Outlook,I worked at Google full-time (More than a year),Outstanding work environment physically; Wonderful benefits for families; Free Food in each building all day every day,Difficult to break through the culture of high performers and academics; People are busy and not always available to help; Product suite not completely integrated into Enterprise Solutions,
"""What a great place to work at""","Oct 3, 2014",5.0,Current Employee,Business Intelligence Analyst,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"I have just finished my 6th month at Google and I loved every minute of it. If you are willing, there is always a great opportunity to grow and improve yourself. The campus is designed in a way to teach you something everywhere, even in the restroom...","Compensation is actually not competitive for Non-Eng positions which leads to a high turnover. Due to this there are plenty of ""average quality"" employees which was quite bit of a surprise to me.",
"""It was a rousing experience full of learning. I really felt as if my career truly progressed.""","Oct 22, 2014",5.0,Former Employee,Anonymous Employee,,,,Tons of competition,Excellent Benefits,"Requires ""genius"" thinking (not my problem, only for those who apply to this)",
"""Smart people.""","Oct 22, 2014",5.0,Former Employee,Anonymous Employee,,,,,"Very responsive to employee feedback. Great benefits and compensation. Internal mobility exists, because Google has its fingers in so many different things.","Satisfaction is project-by-project, team-by-team. While you can certainly move teams, happiness is a gamble that many would prefer to not take.",
"""Overall positive environment, with some of the most super talented yet down-to-earth colleagues I'd ever seen""","Oct 25, 2014",4.0,Former Employee,Information Technology Resident,"Mountain View, CA",Recommends,Positive Outlook,Show More,- Leadership/Management is amazing (for the most part),"- Performance tracking is a little more cut throat then I'd have liked, with the risk of quickly escalating work environment between peers from friendly competition to rivalry",
"""Likely the last job in my life...""","Oct 21, 2014",5.0,Current Employee,Senior Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 8 years),"The brightest colleagues ever, company focus on `moonshots` and spoiling employees, a myriad career possibilities, have your work touch billions (!) and change the world for the better, initiative always encouraged and rewarded...","Very deep bench -- if your ambition is to become a CEO, you *won't* satisfy it at Google",
"""Google review""","Oct 21, 2014",5.0,Current Employee,Software Engineer III,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"Stable, fair compensation, good benefits",Large that hard to show impact to the business,
"""Great on paper, miserable in reality""","Oct 31, 2014",2.0,Current Employee,Account Manager,"New York, NY",Doesn't Recommend,Neutral Outlook,Try launching a flawless product for once and/or actually fix it once it GTM.,Leading company,"Terrible place for career advancement and developing new skills: promotions are more difficult and much less frequent vs. similar companies and are just as political...95% of folks are top overachievers anyways, so competition is fierce and slots are few.",
"""selling ads for google""","Oct 20, 2014",5.0,Current Employee,Anonymous Employee,,,,,you can mange your own time,the pay is low if you do not have a lot of traffic to your website.,
"""Great company...but times are changing. Google is a large company now and it shows sometimes.""","Nov 3, 2014",4.0,Former Employee,Anonymous Employee,"New York, NY",,,I worked at Google full-time (More than 3 years),"Pay, benefits, culture, food, food, food.",Large company now makes getting things done slower.,
"""Amazing experience, now a big company""","Nov 1, 2014",4.0,Current Employee,Account Manager,"New York, NY",Recommends,Neutral Outlook,I have been working at Google full-time (More than 3 years),"Working alongside incredibly smart people. High benchmark for social interactions, always reading about what new and innovative teams alongside you are working on","The work life balance isn't what it seems, you really do need to work extremely hard to get ahead. It's in the advanced stages of becoming another big company, so you've really lost the sense of intimacy and flexibility that came with a smaller company. The reorgs that happen every 2-3 years get old after awhile as you're constantly reshuffled to new teams and managers.",
"""Fast-paced and exciting environment""","Nov 3, 2014",4.0,Former Employee,Sales,,Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),"Google is a fast moving and constantly evolving environment. This can be a strength or it can be a weakness, depending on your ability/ desire to keep up..","Google is a fast moving and constantly evolving environment. This can be a strength or it can be a weakness, depending on your ability/ desire to keep up..",
"""Mostly everything you've heard""","Nov 3, 2014",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time (More than 10 years),"Good comp, benefits are great. Lots of high quality people.",Senior management seems to loose interest in initiatives easily. Culture isn't as good as everyone thinks. Lots of egos.,
"""Great Place to Work ....Big and Corporate now""","Nov 3, 2014",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Great benefits. Nice pay and bonuses. Smart people and interesting colleagues.,Too many cooks in the kitchen at the employee /junior manager level. Constant changing of direction and priorities. Hard to focus.,
"""software engineer""","Oct 29, 2014",4.0,Current Employee,Anonymous Employee,,,,,"great benefit, great grow opportunity",life work balance is not so good,
"""Great company""","Oct 13, 2014",5.0,Current Employee,Program Manager,"Mountain View, CA",Recommends,Positive Outlook,- amazing co-workers and atmosphere,- large focus on work-life balance,- Google is getting bigger and more liks a corporation,
"""Academic and without direction""","Oct 29, 2014",3.0,Former Employee,Software Engineer V,,Doesn't Recommend,Neutral Outlook,I worked at Google full-time,Amazing benefits. Streamlined process. No politics.,No sense of overall direction. No sense of ownership of achievement. Makes you feel like a tiny cog in a giant machine. 1000's of genius engineers with nothing better to do than pick on each other.,
"""Good company, watch out for some departments""","Oct 19, 2014",4.0,Current Employee,Product Support Manager,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"perks, talent, infrastructure, brand recognition, exposure to other parts of the company","training, onboarding, some department's culture are not Googley and could trap you in an area that prevents you from moving to other areas, commute from SF",
"""Great people, great values""","Sep 11, 2014",5.0,Current Employee,Program Manager,"San Francisco, CA",Recommends,Positive Outlook,Show More,"The benefits and care of employees is obviously world class, and compensation is almost unmatchable. But the company attracts some of the best talent and best people to work with in the world, which is the most important bit. Potential impact is always huge, and it's great to wake up in the morning and hear that the company you work for is going to try and defeat death, or bring internet in balloons to rural areas.","Google has gotten really large, and depending on where you are in the company, some bureaucracy and politics can get in the way. The company is very conscious of it, though, so it's less than you might see at other companies of this size. Launching is also the main emphasis -- it's hard to hire some of the brightest people in the world and ask them to just maintain some code base. Almost everyone is very … ",
"""You learn an incredible amount in just 11 weeks!""","Oct 10, 2014",5.0,Current Employee,Anonymous Employee,,,,,The supportive network of Googlers and office culture,There are literally no cons to this internship.,
"""Everything I need to be happy for a long time""","Oct 9, 2014",5.0,Current Employee,Developer Advocate,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),I love what I do. My work is used by lots and lots of users. It's cool stuff that makes people happy. I'm learning a lot which will make me employable within Google and elsewhere. I get to go home whenever I want to enjoy my free time and I make enough money to travel.,Not all jobs at Google are great. Some of them might be on bad projects or ineffective teams. If this happens to you it's probably in your best interest to transfer to another team.,
"""Great experience overall.""","Oct 21, 2014",4.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Neutral Outlook,I have been working at Google full-time,Great coworkers and managers who really value you.,Huge company with a lot of bright people results in a lot of constant competition,
"""Truly a wonderful company to work for. Work ethic and culture combined at its best!""","Oct 21, 2014",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,Compensation can ALWAYS be better. =),The company demands are high therefore it makes the work in turn easy. The personal growth one can obtain whether they remain w/ Google long term or not is forever beneficial. You realize this once removed.....,The politics....,
"""Amazing place to work!!""","Oct 1, 2014",5.0,Current Employee,Principal,"Mountain View, CA",Recommends,Positive Outlook,"- Cool projects and products - use gmail for work! no outlook, no lotus notes!","- Great work-life balance (coming from a consulting background, so anything less than 60 hrs a week is great!)",- Complicated cross-functional organization design - company is organized around products vs. marketing & sales. Hard to coordinate and move people across functions to action,
"""Amazing company""","Oct 20, 2014",4.0,Current Employee,Anonymous Employee,,,,,"Perks, highly motivated, intelligent people.","Lots of people, can get lost",
"""Not the best company to work for despite the reports""","Oct 24, 2014",1.0,Former Employee,Program Manager,"Mountain View, CA",Doesn't Recommend,Neutral Outlook,Show More,"The perks, benefits and prestige of working here are the most significant pro's. Having Google on your resume does open other doors for you, but first you have to survive working there. Another pro is the variety of interesting products they are working on, there is very interesting work happening at Google in a variety of areas.","Entitlement, damaging competitiveness, and misogyny just to name a few. Throw an ineffective HR team in the mix and it is actually not a very supportive or pleasant place to work. I worked in a group that was dominated by men who actively did not like women. My male boss actually stated in a 1:1 with me once that he though several recent promotions were to fill some sort of ""promote women quota"" and that some of the … ",
"""Negotiate your starting salary""","Oct 11, 2014",4.0,Current Employee,Anonymous Employee,,,,,"There is a band of salaries at each level, and when you start at Google or transfer departments, you can and should negotiate because they will start low. I got +8% to base.",Employees don't feel comfortable/safe giving feedback about managers because they're too protected by the next manager. Be wary of who your hiring manager will be.,
"""It's like grad school for people who get stuff done""","Oct 4, 2014",5.0,Current Employee,Anonymous Employee,,,,The benefits are phenomenal. You generally have access to as many resources as you need... you just need the ideas and execution.,The people are great (generally a mix of both very capable and ambitious). Senior management is accountable and very passionate.,"Sometimes there is too much complexity built up to do something simple. You can often fix that, but it may be hard to orchestrate work across geographies and teams since many people have loads of work.",
"""Best place to work with best perks.""","Oct 5, 2014",5.0,Current Employee,Software Engineer,,Recommends,Positive Outlook,Amazing respect when you wear Google t-shirts and roam around in public places.,Free food.,Haven't found any cons yet,
"""cool things""","Oct 19, 2014",4.0,Current Employee,Software Engineer In Test,"San Francisco, CA",Recommends,,I have been working at Google part-time (Less than a year),things are good. culture is quite open and you opinions are valued,"non responsive managememnt. also, difficult to advance",
"""Great company""","Oct 19, 2014",4.0,Former Employee,Software Engineer,"Mountain View, CA",,,I worked at Google full-time (More than a year),Take part in creating useful tech,Almost cult like employee following,
"""Friendly, brilliant people""","Sep 19, 2014",5.0,Current Employee,Senior Software Engineer,"Seattle, WA",Recommends,Positive Outlook,Show More,"Great community atmosphere. Brilliant engineers who are humble, respectful, and go out of their way to help you. The perks are seriously insane -- delicious food, world-class gyms, etc. Unlike some other reviewers, I've had no trouble with movement around the company. I will say that I started Google with a particularly excellent and supportive team, which means I got very good peer reviews, which made transfers to … ","Gets a bit political as you climb up the ladder. Not toxically so, but still annoying.",
"""Not a good company to work for""","Nov 7, 2014",1.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,I worked at Google full-time (More than a year),They pay a good salary except that they have very lousy work environment. I am no longer interested in working here.,Not a good company to work for.,
"""Great company to work for""","Sep 27, 2014",5.0,Current Employee,Product Manager,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Amazing culture, free food, smart people, interesting projects, all this while having a huge impact","It is getting a big company - so politics is creeping in, a lot of slack in pockets.",
"""Good Company to work at.""","Oct 13, 2014",3.0,Former Employee,Anonymous Employee,,,,,Fun Campus to work in.,Cost of living high In California.,
"""Innovative, fun work environment""","Oct 2, 2014",5.0,Current Employee,Strategic Partner Development Manager,"Mountain View, CA",Recommends,,I have been working at Google full-time (More than 10 years),"Leading innovative work, which nobody else is doing. Opportunities for career growth, and tons of career development resources available. Great benefits in stock equity as well as free onsite perks.","High stress, fast-paced environment. Getting so big that it can feel very bureaucratic.",
"""Extremely rewarding and gratifying experience.""","Oct 16, 2014",4.0,Former Employee,Anonymous Employee,,,,,"Great work environment, amazing benefits, flexibility on schedule, free hand to make decisions, peer camaraderie and very easy going atmosphere.","Long hours, not enough remuneration, upper management little arrogant but apart from that, a great place to work and learn and gain experience.",
"""Treat employees very well, but not much opportunity outside of Mountainview and New York""","Oct 13, 2014",4.0,Current Employee,Anonymous Employee,,Recommends,Neutral Outlook,I have been working at Google full-time (More than 5 years),"Benefits and perks are fantastic. Each manager I've had is on board with providing a work-life balance. They are also supportive without micromanaging. Lots of opportunities to meet coworkers, go to events or join social groups. The work is important as well.","The only con is that overall, if you are not interested in Sales, there is very little opportunity outside of New York or Moutainview which can lead to lack of a long-term career.",
"""sem account manager""","Oct 2, 2014",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,No opinion of CEO,benefits is really good and the employees are of high quality,"not much growth space, no good career path",
"""Demanding environment and touch schedule.""","Oct 14, 2014",4.0,Former Employee,Anonymous Employee,,,,,Great salary and benefits and resources. The amount of intelligent people working for this company can be a bit overwhelming and forces you to be the best.,Hard to find free time outside of work. My family started to become distant and I came to the realization that I needed to spend more time with them. Hopefully Google will offer more work from home and vacation opportunities.,
"""Good place to work""","Oct 12, 2014",3.0,Current Employee,Recruiter,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),Very intellectual people from Admin to tech,Promotion and micromanagement on the recruting team for tech,
