Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Broker Trainee""","May 30, 2015",5.0,Current Employee,Anonymous Employee,,Recommends,,I have been working at Charles Schwab full-time (Less than a year),"Supportive management, great work environment and beautiful location",A lot of information to learn in a short amount of tiem,More specific guidance for the broker training position
"""Senior Compliance Manager""","May 26, 2015",4.0,Former Employee,Senior Compliance Manager,"San Francisco, CA",Recommends,Positive Outlook,Approves of CEO,"salary, benefits, career, technology, personnel","laying off, management, relocations, human resources",
"""Great company""","May 28, 2015",5.0,Current Employee,Client Service Professional,"Indianapolis, IN",Recommends,Positive Outlook,Working the weekend can be difficult,First come first serve time off requests.,Can get stuck on a not so great shift,
"""Vp financial consultant""","May 28, 2015",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Great place to work because you can do the right thing,More micromanaging from above/ recent management change,Stop the spreadsheets
"""Operations Analyst""","May 25, 2015",4.0,Former Employee,Operations Associate,"Orlando, FL",,,I worked at Charles Schwab full-time (Less than a year),Working conditions and training material and opportunities were good. Pay was average for the position and area and benefits were good.,Too much Supervisor Oversight and the focus on Quality was very strict. Felt very micro-managed.,"Keep the team meetings more focused on getting the work done and helping the team members to learn how to do their jobs, less on overall Corp strategy and focus."
"""Business Analyst""","Jun 10, 2015",2.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Great people to work with. Very supportive and dedicated.,Management plays favoritism and discrimination is very obvious.,Sr. Management should work more closely with middle management to ensure everyone is treated fairly.
"""Director""","Jun 8, 2015",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Positive Outlook,Disapproves of CEO,Good Benefits and Sabbatical opportunity.,"Geographic Strategy to move jobs out of San Francisco, poor communication and execution. Lack of opportunity for employees not in Denver or Austin.",
"""Sr. Manager""","Jun 3, 2015",2.0,Former Employee,Anonymous Employee,,,,,"It used to be a great Company when Chuck ran it, and you felt like your work was truly in the best interest of the investor and you felt important.","Now there is a CEO who you hear from every 6 months or so, who has surrounded himself with his prior executives from Cleveland, who have been on a mission to move jobs out of San Francisco. Re-organizations every 8 months, with no clear direction. No appreciation for seasoned staff who have worked for years to get the company through tougher times.","As you try and replace 1200 employees from San Francisco, with less knowledgeable people, for cheaper salaries, just remember, you get what you pay for."
"""Profits Before People""","Jun 25, 2015",1.0,Former Employee,FTE,"South Phoenix, AZ",Doesn't Recommend,,Show More,Has one of the best infrastructures in the business. The primary focus is on Security and the customer. Individual staff members are outstanding and very talented.,"One of the most uncomfortably restrictive environments that I have worked in. HR does not support staff, only management. Pay is low, benefits are mediocre at best. Reorganizations run rampant and are very disruptive. Too many contract and off-shore positions mean valuable and talented employees are overlooked and often have to leave in the middle of projects. Too many rules, regulations and policies in regards to … ",People matter
"""Technical Support Representative - servicing clients experiencing technical issues on the company's website & app.""","May 21, 2015",4.0,Current Employee,Tech Support Representative,"Phoenix, AZ",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 5 years),The company has a strong care in the way their clients are treated. Employees assist each other in doing better and advise how to advance further. Managers care about where you see yourself advancing to.,You have to put forth the effort yourself in networking to better understand what will be the best path for advancement.,More informant needed for open possibilities to be promoted to
"""Software Programmer""","May 20, 2015",5.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,Success-oriented work environment,I loved the learnings in different technologies.,I couldnot find any cons,Keep it up!
"""Great working environment. Workers are very energetic and enthusiastic.""","May 21, 2015",5.0,Current Employee,ASFP,"Indianapolis, IN",Recommends,Positive Outlook,Everyone is highly qualified which causes promotions to be based on relationships too,Correct company culture.,Adherence is preached consistently.,
"""Active Investor Trading Services""","Jun 5, 2015",3.0,Current Employee,Active Trader,"Indianapolis, IN",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 3 years),Career development and great teamwork.,Still uses a Mainframe to carry its computers. Its updating servers to improve adoption of new systems.,Improve computer systems.
"""Charles Schwab is one of the best places in the world to work.""","Mar 21, 2015",5.0,Current Employee,Scrum Master,"Phoenix, AZ",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 10 years),I have been there for 16 years now. The culture of the company is all about the best interests of the customer. Everything is built up around that core concept. I have great pride and satisfaction in working for Schwab.,"I have been the sole member of a geolocated team for almost 8 years. That has been a lonely job, but most of that is my fault for not reaching out and building relationships with my co-workers nearby, even though they are in totally different departments.",Stick to the core principles.
"""Ok but very preformance based""","Jun 1, 2015",3.0,Current Employee,Anonymous Employee,"Los Angeles, CA",Doesn't Recommend,Neutral Outlook,No opinion of CEO,Benefits above average for industry,Cant always control when clients withdraw funds,
"""Great Work Culture""","Jun 1, 2015",3.0,Current Employee,Senior Staff Product Management (Technical),"Lone Tree, CO",Recommends,Positive Outlook,Career path has to be clearly etched for every role,Good collaborative environment,Too many sub cultures,Look at sponsoring H1Bs in tech .... This will help in employee retention
"""Schwab Review""","May 18, 2015",4.0,Current Employee,People Manager,"Austin, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 3 years),I love the people I work with. The culture is fantastic. which is rare for the financial services industry. Overall a great place to work.,In the contact center schedule flexibility is a challenge.,Management overall is doing a great job of leading the company in the right direction.
"""great place to start a career in the financial services industry""","May 30, 2015",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Positive Outlook,Show More,"-steady pay checks due to Schwab being a large, stable, conservative company","-multi-tasking is taken to the extreme; expected to take calls and process advisor requests simultaneously. Management will tell you this is frowned upon, but its the only way to get your work done in an 8 hour day.","please loosen the purse strings to retain hard-working, knowledgeable staff"
"""Good company overall""","May 31, 2015",3.0,Current Employee,Anonymous Employee,"Chicago, IL",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 3 years),"Solid benefits and great emphasis on employee growth, engagement and focus on your own financial fitness",Has never been known to pay top salary.,Listen to those on the line.
"""Schwab Review""","May 17, 2015",4.0,Current Employee,CS&S Manager,"Austin, TX",Recommends,Positive Outlook,Approves of CEO,I really enjoy the people I work with.,The work schedule is not as flexible as I would like.,
"""Great place to work""","May 14, 2015",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Executive leadership is transparent with their vision and strategy.,"Innovative company (e.g., Schwab Intelligent Portfolios)",I have nothing but good things to say about the company. It has been a great place to work and has treated me very well.,"Continue to apply the ""through customers eyes"" approach and continue the innovation and technology efforts. Keep up the great work."
"""Great Company""","May 12, 2015",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,salary and opportunities and knowledge on investing,no cons at this time,non
"""Human Resources""","May 12, 2015",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,Opportunities for advancement limited,"Highly engaged, strengths based culture",Compensation at or slightly below industry average,
"""Retirement Plan Specialist""","Jun 11, 2015",1.0,Former Employee,Retirement Plan Services Representative,"Phoenix, AZ",Doesn't Recommend,Negative Outlook,Disapproves of CEO,The majority of Schwab Employees go above and beyond to create an exceptional client experience. I always could count on my coworkers to assist me when I was in need of assistance. We were like a family.,"My manager was not able to assist me with specific client accounts or how to navigate the system. I would reach out for a Senior Represenative since they had more knowledge than management. Trainings constantly got canceled due to not enough coverage to handle calls. Mandatory over time, with commonly same day notice.",My manager was not able to assist me with specific client accounts or how to navigate the system. I would reach out for a Senior Representative since they had more knowledge than management.
"""Sr. Team Manager""","May 8, 2015",5.0,Current Employee,Senior Manager,"Phoenix, AZ",Recommends,Positive Outlook,Approves of CEO,Great company with customer focus,Too much hiring from the outside,Grow your people
"""1 month sabbaticals!""","May 5, 2015",4.0,Current Employee,Operations Manager,"San Francisco, CA",Recommends,Positive Outlook,Show More,"Love the 1 month fully paid sabbaticals every 5 years. Good benefits (health insurance, maternity leave, plenty vacation/sick time) Some departments allow to work remotely from home (1x a week or more depending on situation). Able to do informational interviews for other dept positions. Good location in SF for commuters. Good cafeteria, well priced items and a variety. Networking opportunities for women via many … ","Difficult to get promoted in some groups unless someone in upper management pushes you through. Difficult to transfer to other departments as they claim 'you have no experience' in their dept. It's all about who you know, even if you are an internal candidate. Also, lots of positions are moving out of San Francisco.",Give more opportunities and chances to employees from other departments.
"""Operations Specialist""","May 19, 2015",3.0,Current Employee,Institutional Advisor Services Specialist,"Scottsdale, AZ",Recommends,Neutral Outlook,No opinion of CEO,The People are the best reason to be there,Poor Training on current regulatory issues,
"""Senior relationship specialist""","May 17, 2015",3.0,Current Employee,Anonymous Employee,"Maitland, FL",Recommends,Neutral Outlook,Very hard to stay in current role and make money.,Great place to get your licenses for free. Great culture. Great entry level job to get you somewhere else.,Pay is about 20% below industry average.,"Spend the money on your assets (employees) so your not always replacing! It cost more to hire, train, and rehire every 1-3 years if you just actually paid more to your current employees!!"
"""Branch office""","Jun 5, 2015",1.0,Former Employee,Financial Consultant,,Doesn't Recommend,Negative Outlook,I worked at Charles Schwab full-time,Some of the co-workers are good to work with.,"Manager does not care about you - there is no advancement or opportunity, so you better love the role you are in because you will not do anything else in a branch office, at least in my experience. No regard for talent - do not care about keeping good people.","Let your branch managers know that recruiting, hiring is expensive, so don't make the employees you hire hate you and leave."
"""Exhausting and unrewarding""","May 5, 2015",3.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Positive Outlook,I worked at Charles Schwab full-time (Less than a year),This company has a great benefits package that allows you to buy company stock at a lower price.,Had to get time off. Constantly on the phones. They over work their employees with no real reward for the continuous hard work they put forth. You are the forefront of everyone's problems and you will get yelled at and hung up on daily.,Reward employees more often. The job is exhausting and the hours are grueling. Make sure people feel like they matter.
"""Relationship Manager""","May 15, 2015",2.0,Current Employee,Anonymous Employee,,,,,Coworkers are upbeat and help the day pass.,"No movement for growth, scarce opportunities for raises.",
"""QA Analsyt""","May 1, 2015",4.0,Current Employee,Anonymous Employee,"Austin, TX",Recommends,Positive Outlook,Approves of CEO,Great people to work with,No overtime hours for contractors,
"""Technical Support Rep""","Apr 30, 2015",4.0,Former Employee,Anonymous Employee,"Phoenix, AZ",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 8 years),Loved the culture and values,It is a call center.,
"""Great people, great company""","Apr 29, 2015",5.0,Current Employee,Manager,"San Francisco, CA",Recommends,Positive Outlook,Approves of CEO,"Great work life balance, smart people, client focus is #1",nothing that comes top of mind,
"""Registered Representative""","Apr 29, 2015",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,Schwab has an excellent training program. They are also exceptional at promoting qualified motivated people from within.,"Due to the nature of the business, some of the shifts do not have desirable hours.",People will stay at Schwab long if the compensation was more competitive
"""Associate Portfolio Consultant""","Apr 29, 2015",4.0,Current Employee,Associate Portfolio Consultant,"Denver, CO",Doesn't Recommend,Positive Outlook,I have been working at Charles Schwab (More than 10 years),"Stable, fair, ethical, understanding of family life",Losing their way from what they used to be,Listen to your employees
"""Call center drudgery""","May 4, 2015",2.0,Former Employee,Anonymous Employee,,,,,Lots of securities training available,Tied to the phone all day expected to sell products to those clients that have money. 30 min lunches.,
"""Client Service Specialist""","May 8, 2015",2.0,Former Employee,Anonymous Employee,,,Neutral Outlook,I worked at Charles Schwab full-time (More than a year),Coworkers provides a good environment.,No career advancement opportunities dead end job. Company wants you to stay in lowly service role. Or leave.,Really encourage career development.
"""Company is changing to stay relevant.""","Apr 17, 2015",4.0,Current Employee,Anonymous Employee,"San Francisco, CA",Doesn't Recommend,Positive Outlook,I have been working at Charles Schwab full-time (More than 10 years),Lots of emphasis on products and delivering value to the clients. Lots of great people to work with .,Another 3 year real estate strategy is underway to reduce footprint in San Francisco. No career opportunities in the HQ.,
"""Not the same company any more""","May 22, 2015",1.0,Former Employee,"Vice President, Financial Consultant",,,,I worked at Charles Schwab full-time (More than 10 years),"Well respected brand, with strong marketing, and walk in traffic","Constantly changing compensation plan, client relationship is not important, becoming a product pushing company",
"""VP""","May 4, 2015",3.0,Former Employee,Anonymous Employee,"Mill Valley, CA",Recommends,Positive Outlook,I worked at Charles Schwab (More than 8 years),"Good people, challenging projects, good benefits","relocating most positions out of SF, managing up for promos, politics",
"""underwelming""","May 8, 2015",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,No opinion of CEO,"great place to start OR end your career. If you want to cruise, and can deal with the politics than this is the place for you.","hard to make any real money as a salesperson. management is not open to change, and has trouble backing decisions they've made",
"""Working at Charles Schwab had a casual work environment, though you were expected to be very productive.""","Apr 22, 2015",4.0,Former Employee,Anonymous Employee,,,,,"For me the pros were a decent medical package, a casual work environment, and the over all atmosphere was positive most of the time.","I don't really have a lot of cons to share. Most of my issues working there are subjective. Personally at the time I worked there I didn't care much for the management, poor training, and overworked.",I don't really have an substantial advice to management. I'm not sure that they same people work there anymore. Overall I'd suggest that to create a system where the employees are not overloaded with work.
"""Overworked, underpaid & grossly unappreciated.""","Apr 25, 2015",3.0,Current Employee,Registered Representative,"Indianapolis, IN",Doesn't Recommend,Positive Outlook,No opinion of CEO,"You get paid. Not enough, but you get paid.",You're served crap by clients all day long and expected to eat it.,"You never know who your manager is, because it will change every 6 months."
"""Everything changed after Walt became CEO.""","Apr 9, 2015",2.0,Current Employee,Anonymous Employee,"San Francisco, CA",Doesn't Recommend,,Disapproves of CEO,"Good work/life balance, and really good people, for the most part.","The politics here keep getting worse. It's all about who you know and are connected to. Hard workers go unrecognized because of silly politics. The company used to really value its employees, and it seems like it's now more interested in appearances, so they push people to lie on engagement surveys so they get high scores and win awards.",
"""Phone Rep""","Apr 15, 2015",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Great company to work for and complete training to perform your job.,Working in the call center can become tedious at times.,
"""Good company""","Apr 15, 2015",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,Good values - customer focused and most people really want to help improve service to the clients. Also executives are ambitious to challenge the industry by trying to offer more value than the competition.,"Career development is weak by comparison to consulting firms. At the same time, the culture is cooperative rather than cutthroat. Seems like a pretty good place especially if your goal is to have good work/life balance and stick around for years, as many do.",Management is doing a very good job.
"""Great entry level job""","Apr 15, 2015",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Good training and work environment.,Hard to advance to other positions.,
"""4000 line was a prison 5 years ago and getting worse I hear""","May 14, 2015",1.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,Show More,"Good place to get your licenses, and it's tolerable the first year. No more pros to mention.","Where do I start? Probably the worst job I ever had. It's amazing that they somehow get about half of the people and the old timers to drink the kool-aid when the company couldn't care less about anybody that's on the phones. For my buddies and I that all worked there years back, Schwab will always be a punchline for us. It's a complete joke in terms of culture. The managers and directors should be straight out of … ",
"""Micro-Management, Anyone?""","May 12, 2015",1.0,Former Employee,Client Banking Specialist,"Denver, CO",Doesn't Recommend,Positive Outlook,I worked at Charles Schwab full-time (More than a year),"I suppose the benefits are decent. Free parking, good name recognition for resume, very ethical company, I can't really think of anymore pros.","They micro-manage you to the inth degree. Horrible politics, lots of propaganda, and the proverbial drinking of the kool-aid. In Bank, the systems are extremely outdated, and there are a lot of internal departments with a ""it's not my job"" attitude.","Bring salaries up to standards. Schwab is currently way behind the industry. Otherwise, it is what it is."
"""Overall has been a good company to work for""","Apr 8, 2015",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,"There are good benefits, and somewhat competitive pay. They also avoided taking any government assistance during the recession and did their best to not lay people off.","Terrible at developing career paths for employees, or putting people with specific talents in the correct roles.",
"""Impressive company to grow your career""","Apr 8, 2015",5.0,Current Employee,Software QA Engineer,"Austin, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),Charles Schwab is a solid work environment to explained your career. Devoted and intelligent people to work with.,"Nothing that I can think of, they hire a lot of people through contract work for 12 months, but they do bring you over into the company after that time.",
"""Good people. Great Projects.""","Apr 6, 2015",5.0,Current Employee,Anonymous Employee,,,,,Great Company to work for,None. Havent seen any yet.,
"""Good work environment, but low salaries""","Mar 30, 2015",4.0,Former Employee,Registered Representative,"Denver, CO",Recommends,Positive Outlook,Approves of CEO,Good place to get licensed.,Management squeezing everything they can out of employees at very low salaries.,
"""Great Company""","Apr 6, 2015",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Great company to work for.,No cons that I can think of.,Keep up the good work!
"""Retirement Plan Specialist""","Apr 18, 2015",2.0,Former Employee,Anonymous Employee,"Phoenix, AZ",Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than 3 years),"Meeting quarterly with Senior Management, Exe VP's.",Company has a high turn over rate. Consider reading up on taking a Series 7 and 66 exams. Without having them your tenure will be very short lived. Would expect the company to really do a lot of in house training to get everyone to pass the exams considering the cost of hiring and firing employees.,Work on retention. Why let good people go. Examine why people are being let go. Work with the individual. Major problem is that not permitting representatives to truly resolve issues and improve the knowledge base. The knowledge base happens to be the worst I have seen. You have to many different locations to obtain information this is extremely confusing and frustrating.
"""Technical Support Specialist""","Apr 17, 2015",2.0,Former Employee,Technical Support Specialist II,"Phoenix, AZ",Doesn't Recommend,Negative Outlook,I worked at Charles Schwab full-time (More than 5 years),pay scale is more than fair and they adjust often enough. Awesome customer service training,no time off; they don't honor vacation or the benefits they offer,Stop counting bathroom breaks against your employees and honor your promises
"""Great company not perfect""","Mar 27, 2015",5.0,Current Employee,Client Service Specialist,,Recommends,Positive Outlook,Approves of CEO,Company maintains a strong commitment to doing business ethically with a high degree of integrity. Benefits are very good. Work environment is positive and management is generally good. If you live to help people you will love working for Schwab.,"If you live to make money, you may want to look elsewhere. Compensation is relatively low and advancement can be limited depending on your role and location.",Never stray from the values on which Chuck founded the company.
"""Schwab Corporate offices""","Mar 24, 2015",4.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,No opinion of CEO,Great work environment. Very smart people who are passionate about what they are doing all across the country.,Not a growth environment. Promotion and opportunities depend largely on being connected to the right people.,
"""Charles Schwab was a great company to work for. Easy to take a day off, willing to train, ect.""","Mar 23, 2015",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,They are eager to train and develope their people.,"10 hour shifts, cons for some people pros for others",More pay would be nice.
"""Former employee""","Apr 4, 2015",3.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,Show More,"An environment of mostly 40 y.o. and younger it seemed. Some of the nicest people you've ever wanted to meet work there. They seem to care a lot about their customers. There are a lot of activities to focus on the happiness and work-life balance of full-timers--hiking clubs, etc. Most worked hard and when 5:00 rolled around--boom, all gone for the most part. I think they are very concerned with the well-being of … ","Refusal to accommodate the request to not work next to a super-duper loud talker--over the top--it would pierce the brain. They tried I think to tone it down, but gave up. There were places to move, but they were slated for others--however, it was a large empty area to move to--that stayed empty, and might be empty for a long time. I'm not used to being so tightly managed--but this was a requirement that could not … ","If you value your contract employees, then try harder to accommodate them, even if you have to move them around a couple of times. Get them laptops--to be sure there was a way to to do that--money should not be an issue at this company and as big as it is, nor the time to make that happen, if it was important enough. Contractors, just like the regular full-timers should be able to work quietly at home. I felt fairly … "
"""Liked the company but hated the culture and the pretending.""","Apr 15, 2015",1.0,Former Employee,Senior Technical Project Manager,"Englewood, CO",Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than 3 years),There are some great benefits and I received several stock options based on my performance. I also believed very strongly in the company's products and services and felt they treated customers well and with ethics and integrity.,"Passive aggressive culture. If you have a beef with someone and want to deal with it directly, you will be considered aggressive and combative. Everyone talks behind each others' backs because they aren't allowed to have real conversations.",Start encouraging real dialogue among teams and business units and between the BU's and IT. The kumbaya culture you think you have is phony and ineffective.
"""Great Resume Builder / Average Career Opportunities / Lots of Micro Managers""","Mar 28, 2015",3.0,Former Employee,BROKERAGE SERVICE Representative,"Austin, TX",Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than a year),"Professional culture, dedication to customer service, benefits, chance to acquire Series 7 & 63",Managers lacked vision....very few true leaders on the floor. The queue dictated when/if training or team meetings would take place. Bogus sales lead metrics seemed to be on an equal footing with providing resolutions.,Micro-managing does not empower employees. Put more consideration into the metrics you use.
"""This used to be a great place to work""","Apr 12, 2015",1.0,Current Employee,Senior Staff Technology Solutions,"San Francisco, CA",Doesn't Recommend,Positive Outlook,Disapproves of CEO,Telecommuting and a flexible work schedule. I've been there a while and have developed some close friendships,"Mass layoffs over the next three years in SF were announced, so it's a dreary place to be. Clearly, no career opportunities in SF.",The Gallop surveys are a joke. There are very few leaders left who inspire and make you feel valued at Schwab. Falling in line and not asking questions seems to be what's valued under Walt Bettinger; it wasn't like that when Chuck was in charge. Please stop trying to motivate people through threats. It's a lousy way to run a business.
"""a position""","Mar 17, 2015",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,,"great coworkers, flexible work life balance",great value proposition and competitive advantages,
"""Great culture, less than average pay for the industry""","Mar 24, 2015",3.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"culture, a workplace your can be yourself in. Business casual , or casual-casual, unless the Execs come to town. The Execs dress down the employees dress up-- pretty ironic. Training opportunities are above average.",Career opportunities are coming to rely on Gallup surveys a little too much. Pay is laughable based on all that you do.,Don't lose qualified employees to other firms because of pay and Gallup surveys.
"""Sr. Manager""","Mar 24, 2015",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,Management priorities change often.,Open organization. Some very talented people.,Geo policies changing all the time.,
"""Challenging work, great people.""","Mar 21, 2015",3.0,Current Employee,Senior Staff Software Engineer,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),CompaNY actually cares about its employees. Good benefits and transparency.,Lack of flexibe work options despite being a technology company. Lack of paternity leave.,Working remotely does not mean lack of collaberation. Trust you employees will work remotely responsibly and ease up on the telecommuting policy to allow employees tOK achieve a better work life balance.
"""Decent place to start a career in financial services and then leave for a good career once you are licensed.""","Mar 20, 2015",2.0,Current Employee,Anonymous Employee,"Indianapolis, IN",Doesn't Recommend,Negative Outlook,I have been working at Charles Schwab full-time (More than 5 years),Get licenses without the pressure to sell.,Compared to other companies in the industry employees are very underpaid.,Quit preaching about how things will be great once interest rates rise. Listen to your people and stop looking at them as warm bodies to fill seats.
"""Good place to work!""","Mar 10, 2015",4.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,Good process in place. Knowledgeable business units. Lots of diversity in terms of talent.,No WFH available for contractors.,
"""CSR""","Apr 10, 2015",1.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time,"Building was nice and new, good education classes on market fundamentals, free coffee, free popcorn.","Unrealistic expectations from management, cult like atmosphere, poor pay compared to rest of industry. Almost all employee activities are monitored. Incredibly high turnover for Entry Level Jobs. Training does not match job. Very strange dynamic between male and female employees, frequent harassment complaints men and women tend to segregate themselves.",Improve your training to meet. the actually responsibilities of phone reps. Stop treating employees like middle school children. Improve pay.
"""Great place as a client, tough place to grow as an employee""","Mar 15, 2015",3.0,Current Employee,Brokerage Service Representative,,Recommends,Positive Outlook,Show More,"Charles Schwab has great name recognition within the industry, and that leads some instant credibility on the resume. The benefits are solid in my opinion, and most of my coworkers were some of the best people I have ever worked with anywhere. The company has a lot of room to grow. If you want to get your foot into the door in this industry getting licensed at Schwab and putting some time in is a great place to … ","There is very little room to grow as far as your compensation is concerned. Even working your way up through multiple positions you will see your salary grow at an astonishing slow rate. There is an annual bonus, and you better believe they will do everything they can to make sure you don't get it. The higher compensated positions, both incentive and salary based, require significant tenure within the company (read: … ",Blow up the management structure within Retirement Plan Services because no one in that department knows what they are doing. Stop looking at call center stats like they tell the whole tale of who can manage other people and direct projects.
"""Good company that treats their employees fairly. Lots of opportunities for internal lateral movement.""","Mar 23, 2015",3.0,Current Employee,Risk Analyst,"Englewood, CO",Recommends,Positive Outlook,,Every 5 years of tenure you get a month long sabbatical. Tiered vacation system where you get more vacation the longer you work there. After 3 years you get 10 hrs/month plus two floating holidays. Generous sick time. Decent pay.,Poor upward mobility. Benefits are decent but not what they once were.,
"""Discriminates against Older Employees; unable to retire due to low pay""","Apr 4, 2015",1.0,Current Employee,Project Manager,"Lone Tree, CO",Doesn't Recommend,Positive Outlook,Show More,"Challenging work, nice people. Physical spaces provide comfort to employees - sit / stand workstations, company provides better chairs if you ask for one. Nice cafeteria and employee branch.","Few people over the age of 50 work there, and they are absolutely never considered for promotion or internal transfers.","Staff work just as hard if not more than management but pay is so low, it's ridiculous (at least for Denver area)."
"""If you are over 50 you will be laid off so they can hire younger and cheaper""","Mar 31, 2015",1.0,Current Employee,Anonymous Employee,"San Francisco, CA",Doesn't Recommend,Negative Outlook,I have been working at Charles Schwab (More than 10 years),They used to be great.,It's all about profit for this firm,Come back Chuck
"""Schwabbies Rock!""","Mar 2, 2015",5.0,Current Employee,Manager,"Phoenix, AZ",Recommends,Positive Outlook,Pay is strong and bonus program gets stronger every year. Health are on par with industry.,"True ""family"" environment, teams are supportive and focus on leveraging each other's strengths to accomplish tasks.",No paid maternity leave like most FORTUNE 500 employers. 401k match could be higher.,Focus on keeping total comp and benefits packages competitive.
"""Good company to work, good benefits.""","Mar 4, 2015",4.0,Former Employee,Systems Administrator,,,,,"Good benefits, nice people, not stressful environment to work.","Low pay, small bonus, not efficient time spending",
"""Good company to gain experience""","Mar 2, 2015",4.0,Current Employee,Associate Software QA Engineer,"Denver, CO",Recommends,Positive Outlook,Good benefits,"Depending on the team, the company is a great place to learn and grow",Work/Life Balance could be better,Keep up the good work
"""Great Client Focus, but handcuffed by the worst that ""Human Resources"" can dream up""","Feb 21, 2015",3.0,Current Employee,Client-facing Financial Services Representative,"Phoenix, AZ",Doesn't Recommend,Neutral Outlook,Show More,"A completely ethical, client-focused business practice geared toward providing unbiased financial help & advice to its clients. Clients compliment us for our openness and honesty, which helps with the feelings of job satisfaction. Health Plan was among the best until Obamacare forced the company to stop offering a ""Cadillac Plan"", but still provides good access to health care. Decent pay for a competent client … ","The company has gone way overboard with minutia thanks to ""Human Resources"" policy changes during past 10 or so years. One example is how they've crafted a mechanism by which they find ways to avoid paying bonuses to employees. It used to be that the company paid out a full bonus quarterly, depending upon the company's performance for the preceding business quarter. All employees were able to participate, and in a … ","Listen to your front-line employees. They're the ones who actually communicate with your client base, and they're very adept at telling us what they like about what we offer. If you consider how much customers liked discounted commissions, access to a wide range of no-fee mutual funds, and expanded access to these services via our Internet platform as the years rolled by, try to remember that they came to us because … "
"""Senior Marketing Manager at Charles Schwab""","Mar 11, 2015",3.0,Current Employee,Anonymous Employee,,,,,There is good work and life balance,Not a lot of opportunity for personal growth,No advice for management
"""Love working here""","Feb 24, 2015",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Great reputation, room for growth, good benefits, great corporate culture",I often feel I'm underpaid,
"""Top Heavy Management - Too many layers of management and not enough people to actually do the work""","Mar 6, 2015",3.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Mundane work with little challenge,Good benefits market salary decent time off,Hire managers that actually know what they are doing and how to manage good people
"""Good company that is very investor focused. Pay is good for certain roles.""","Feb 19, 2015",4.0,Current Employee,Portfolio Consultant,"Denver, CO",Recommends,Positive Outlook,Approves of CEO,"Very investor focused, not any pressure to sell",Pay could be a little better,
"""Charles Schwab""","Feb 15, 2015",4.0,Current Employee,"Vice President, Financial Consultant","New York, NY",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Very transparent company to work for, easy to provide a value proposition to clients.","Not always the best at marketing themselves including chosen locations, although getting better",
