date,title,overall_rating,employee_details,pros,cons,ratings_breakup,outlook
1-Aug-18,"""Fulfillment""",3,Former Employee - Anonymous Employee,Very safety conscious and good at on-the-job training.,"Virtually no time off at all. They expect maximum work out of employees without returning the favor in terms of bonuses, raises, or promotions. Very bad about nitpicking output rates.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Jul-18,"""Fast paced, challenging, and rewarding""",5,Current Employee - Area Manager,"Many opportunities for advancement, and a challenging yet rewarding job experience.",Work life balance can be stressful to those new to fulfillment roles.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Jul-18,"""Warehouse Associate""",5,Current Employee - Anonymous Employee,Great opportunity to build experience in warehouse,"Growth in each associate to become great, and move up in promotions","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Jul-18,"""customer service""",5,Former Employee - Anonymous Employee,Good work environment and multicultural.,no cons to mention as far as i know,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Jul-18,"""Good good good good good""",5,Current Employee - Anonymous Employee,Good it’s good I like it,None really but my feet be hurtin lol,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Jul-18,"""SDE 2""",5,Current Employee - Anonymous Employee,Great work here and good scope to grow.,Nothing that I know of,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
17-Jul-18,"""Program Manager""",5,Current Employee - Program Manager,"You own your destiny.
Great compensation.
Work with very smart people.","Too much work!
Too reliant on email, that culture needs to shift.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
21-Aug-18,"""Most unfair organization""",1,Former Employee - Anonymous Employee,None. Wish I could give 0 star.,"Everything. I was hired and relocated. I uprooted my life. I got caught up in internal politics. People whom I worked some felt threatened by my experience/background. They threw me under the bus every chance they got. I was finally put on performance improvement plan which was a joke. I knew from the get go, I would not pass. Which is what happened and I was terminated. I am now stuck moving back to my original … 
Show More","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
22-Aug-18,"""Poor work life balance""",1,Current Employee - Software Development Engineer,"Competitive salary, some teams are good.","Poor work-life balance, disrespectful teammates, stress ful environment.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
22-Aug-18,"""Tech""",1,Former Employee - Anonymous Employee,"Benefits are very good, insurance, 401K, stock is ok, but since it's so high now, RSU stock is chincy, and even the career choice that is offered. Is really nice. Most of the people who actually do their job, and try to stay positive.","At RIC 1 Noone is held accountable, there are more""incidents"" involving powered industrial equipment, and the ""fix"" is a slap on the wrist, a shift of retraining, and maybe a drug test. Bullying is huge by those who have a higher level position and no one seems to see exactly what the scope of bullying consists of. Safety is non-existent. The associates have a 3 minute window that they get statistics, information … 
Show More","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
1-Aug-18,"""Anonymous""",2,Current Employee - Anonymous Employee,It pays well and is simple work,Its strenuous theres 1 break and they don't care about employees,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
12-Jul-18,"""Great experience for your resume""",5,Current Employee - Retail Experience Consultant,Great experience to learn about the company's culture and get your foot in the door to start your career. Fun environment to work in and they offer good benefits for both full-time and part-time employees,New program so many things were not set in stone in terms of the work and what needed to be done,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
16-Jul-18,"""Good brand name, sincere management, middle managers are less than ordinary""",4,Current Employee - Senior Product Manager,"Great pay, great brand, good offices","Middle managers, race to get promotions at the cost of short term hacks","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Jul-18,"""good""",4,Current Employee - Amazon Customer Service,good hours good people and good money,phone money hours work,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Jul-18,"""Customer Service Rep""",4,Current Employee - Anonymous Employee,"Virtual position, being able to work from home","Not a lot of room for growth, working your own pace not able to speak to management right away if you have questions","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Jul-18,"""EHS Manager AR Sort""",4,Current Employee - EHS Manager,"Overall great company to work with, strong EHS team. Wide variety of item to focus on and still have room to make a contribution that will have a positive impact for the networks.","Many programs and policies to manage with room for improvements, which can be a positive thing.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
29-Jul-18,"""Boring, dry corporate projects. Bad for UX pros""",2,Current Employee - User Experience Designer,"Dense problem sets
Some intelligent colleagues
Plenty of internal conferences to learn various tools and trades
Fun campus events","Everyone’s idea of the role of UX is completely different.
UX turns into UI design, making things pretty, design for “delight”, and copywriting.
Boring corporate problem sets.
Org leadership is out of touch with modern digital product development practices, out of touch business people leading “innovative” products.
Beaurocracy gets in the way of innovation.
Groggy management adds no value to team … 

Show More","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
31-Jul-18,"""Picker/packer""",3,Current Employee - Picker/Packer,"You stay busy, your benefits start immediately as soon as you start working there, and there are discounts in various things because You are with Amazon.","Dont look for a raise, but expect more, and more responsibilities. You are just a number to make their numbers, to get Amazon more money, but nothing more you do adds to your income, except overtime. Which isn't offered much except as mandated at their busy times, like Christmas.","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
31-Jul-18,"""Delivery Associate""",3,Former Employee - Anonymous Employee,#NAME?,#NAME?,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
20-Aug-18,"""HR Leadership""",1,Former Employee - Human Resources Manager,"Good opportunity in HR for those that do not have prior HR experience, especially if you willingly and without question drink the koolaid.
Amazon prefers to train inexperienced people their way because Amazon is always right (legal or not).","Horrible culture in the traditional non-sort facilities (I can’t speak for the other building types). You must know the right people to be successful, and you must be prepared to step on anyone in your way. If you value ethics and integrity, I do not recommend Amazon.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
16-Jul-18,"""Global Sales""",5,Current Employee - Sales Executive,Truly inspiring place to be. Big and growing fast with a work culture for experienced self -starters who know how to make things happen.,Cant think of any right now.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
16-Jul-18,"""Amazon Corporate""",5,Current Employee - Investigations Specialist,"Work From Home is definitely a plus, but it is not available for all positions...","Not too personal, until you put in your time you are part of the machinery of the coperation","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
16-Jul-18,"""Sorter""",5,Current Employee - Sorter,I love it.. I love the small shifts and great pay and benefits.,None really 2 upt hour should not be taken for coming in 1 hour and 1 min late maybe 1/2 hours for less then 5 mins.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
21-Aug-18,"""Warehouse""",1,Current Employee - Laborer,Pay benefits are good for you,Management has to get retraining,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
31-Jul-18,"""Can be great for higher-ranking employees, not so much for associates""",2,Former Employee - Associate,They pay a little higher than minimum.,"There is a culture of overwork, barely legal paid time off, very short and incommensurate breaks and a lot of cost cutting that makes their employees hate their jobs.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
31-Jul-18,"""Ok""",2,Former Employee - ICQA Process Assistant,"VTO, 1st day benefits, climate controlled",Management could take some lessons in managing,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
31-Jul-18,"""Fulfillment""",2,Former Employee - Fulfillment Associate,"Great maternity leave
Plenty of paid time off and vacation","Too many changes of managers
Little consideration for employees","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
15-Jul-18,"""Recruiter""",4,Former Employee - Anonymous Employee,Culture of aggressive business and technical risk taking; many smart and motivated employees; company has a lot of momentum currently,The leadership principles are applied unevenly; appearing to adhere to the LPs matters more than any individual authenticity,"[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
16-Jul-18,"""OK place if you like hard work""",4,Current Employee - Anonymous Employee,"Ok, love the people.",Attendance is rather rigid. Work is hard. you must make rate,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
16-Jul-18,"""Customer Service Associate""",4,Current Employee - Anonymous Employee,"Flexible schedules, mostly good work environment, growth opportunities","They don't motivate the agents anymore, there is a lot of instability, constant counterproductive changes, they don't value their workers like they used to.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
16-Jul-18,"""Area Manager""",4,Current Employee - Anonymous Employee,"Growth, development, career foundation. You will learn , do, grow, and contribute more in this role than any other ""entry level"" job.","You will work more than 40 hours a week, and may end up on a night shift . Closer to 50-55 hrs/wk. non-peak and 65 during peak. If you are ok with that, it is not really a con.
Not the same as working in Seattle. No fun perks or events.
Stocks are great, but cause people that do not like their job to stick around just to collect them.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Jul-18,"""Sr. Program Manager""",3,Current Employee - Senior Program Manager,You work with a lot of smart people. Decisions are made quickly with very little red tape. Leadership Principles are actually super helpful(you will use them everyday).,Be prepared to work harder than ever before. The hours are long and intense. Promotions do not happen often and are not always merit based.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
15-Jul-18,"""Operations Manager""",5,Current Employee - Anonymous Employee,"Work with best and the brightest, always improving, will really challenge you","Very demanding, perform now mentality.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
15-Jul-18,"""Good""",5,Current Employee - Anonymous Employee,"Flexible work schedule
Nice People
Safe place to work","Very Physical
Salary rate could be better","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
20-Aug-18,"""Horrible job and management is worst""",1,Former Employee - Anonymous Employee,Discount and close to good area.,Management is a joke and favoritism no room to grow,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
29-Jul-18,"""Absolutely Exhausting Job""",2,Former Employee - Shipdock,"Great Pay, Nice Employees, Benefits are okay

Everybody I worked with was extremely nice(I worked on shipdock) My boss was fantastic and she really helped on the front lines with the rest of us.","Long hours, Rubbish Schedule(Especially nights), Excessively tough work, Not accommodating when it comes to injuries.

Due to prime week I became hospitalized from dehydration and malnutrition, I experienced seizures and had to spend a bit in the ER because of it. I was fired because my UPT fell below zero even though they reached out to me to find out what was wrong, they never responded to my replies, and … 
Show More","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
15-Jul-18,"""Great Company to work for""",4,Former Employee - Anonymous Employee,Easy and fast to apply and get job.,The Customer service program is not user friendly.,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
15-Jul-18,"""It’s okay""",4,Current Employee - Anonymous Employee,Lucky if you have cool coworkers to pass the time,Not enough money for what you have to do physically,"[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
15-Jul-18,"""Sr. HRA""",4,Former Employee - Anonymous Employee,You learn A LOT but it's what you make of it. Duties can be very repetitive and can require little thinking if you don't ask the right questions,Your experience is all based on the leaders. I had great leaders at one location and terrible leaders at another,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
29-Jul-18,"""Amazon Fulfillment Associates""",3,Current Employee - Anonymous Employee,Free stuff and bonuses every two weeks,Long hours on your feet & rude management,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
14-Jul-18,"""Great company to work for""",5,Current Employee - Technical Support Engineer,"Great company culture, leadership principal makes company growing fast.",Life work balance is challenge,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
14-Jul-18,"""Order selector""",4,Former Employee - Inbound Stow,Stocks best HR team ever,Management too young and play too much,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
14-Jul-18,"""Awesome Benefits""",4,Current Employee - Fulfillment Associate,Plenty of opportunities to move up in the company.,Hard on your body from manual labor in most departments.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
28-Jul-18,"""Customer Service Associate""",3,Current Employee - Anonymous Employee,"Pay, there's room for growth","Hours, the allotted unpaid time off","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
13-Jul-18,"""Life at the empire if Amazon.""",5,Current Employee - Fulfillment Associate,"Management team really takes notice of your value, even when you dont think they do.",No cons really to add.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Aug-18,"""Great if you have boundless energy and enthusiasm.""",1,Current Employee - Warehouse Associate,"Good pay and benefits, immediate hire","Physically demanding, micromanagement, crowded conditions, difficulty getting days off, low morale, enforced break times","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
12-Jul-18,"""Associate""",4,Former Employee - Anonymous Employee,The environment is great,Nothing that I can think of,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
13-Jul-18,"""SDE-II at amazon for 3 years""",4,Current Employee - Anonymous Employee,"Decent Pay, lot of options to move within the company for diff role.","Depends on team, but can expect high work pressure","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
13-Jul-18,"""Flexible""",4,Current Employee - Part- Time Class Q Associate,The pay is fair & hours are good,No Full Time positions available,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
13-Jul-18,"""Good place to start""",4,Current Employee - Associate,"Great Benefits, tons of potential for future opportunities, Huge company brand recognition worldwide","In a company this big you essentially are just a number and their internal promotion policy is extremely flawed leaving those with experiences outside of Amazon completely looked over for promotions with anything less than 2 years Amazon experience. There is no compensation for learning more roles and there's often a lot of politics and favoritism within teams. If you're not on 1st shift, the hours for 3rd shift … 
Show More","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
13-Jul-18,"""Easy job love amazons benefits !""",4,Current Employee - Ambassador,Benefits & 2nd lunch break if free (30 minutes),Not enough credit for the hard workers !,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
25-Jul-18,"""Fast pace, repetitious, can be rewarding, not for most""",3,Former Employee - Associate,"Benefits and the perks, overtime is available in various times throughout year , not just Christmas.","Mgmt at lower level is fresh out of college. Long shifts , drink plenty of water and get in shape","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
27-Jul-18,"""ICQA""",3,Former Employee - ICQA,"Fast paced, exciting. Many different jobs.",All company cares about are customers not employees,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
27-Jul-18,"""Receive Clerk""",3,Current Employee - Anonymous Employee,"Amazon provides very good benefits, such as rsu's and medical insurance. Amazon provides a fair amount of training to get you well versed in a number of warehouse processes with very well done streamlined training. It is also probably the safest workplace environment when it comes to a warehouse job.","While the benefits are very nice, the actual hourly wage isn't as competitive as they make it seem and you cap out fairly quickly and wont make much money after being there a few years unless you move up to a level 3 position or higher. The problem with moving up in the company is that it is based on a somewhat strict meaningless interview process with no regards to your resume, work ethic, time with the company, or … 
Show More","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
27-Jul-18,"""Associate Sorter""",3,Former Employee - Anonymous Employee,Managers approachable. Working environment pleasant.,Corporate changes schedule to downsize.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
27-Jul-18,"""Warehouse Associate""",3,Current Employee - ICQA,The benefits are great. They pay decent wages.,No tuition assistance for undergraduate or graduate programs.,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
27-Jul-18,"""Fulfillment Center Associate""",3,Former Employee - Fulfillment Center Associate,"Very fast paced environment so you always have something to do.
They also offer overtime a decent amount of the time.","Not a lot of flexibility in shifts. I would've like to work like Monday, Wednesday, Friday, Saturday, but that wasn't one of their preset options so couldn't do it.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
12-Jul-18,"""Lole""",5,Current Employee - Anonymous Employee,Pretty good I believe is great,Bad management for the most part,"[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
16-Aug-18,"""Data Center Technician Level 4""",1,Current Employee - Data Center Technician L4,"Working with the latest technology. After about 2 years you can transfer to something else, because Amazon does so much there are many opportunities.","Technicians are praised for the amount of tickets they can resolve, nothing is based on the amount of work actually completed. This causes some to do far less work than others at the same pay. Technicians are also required to use a certain amount of parts per week. To meet this requirement technicians will unnecessarily replace parts. This only lowers employee stock and raises company cost. When Prime Day or black … 
Show More","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
16-Aug-18,"""SDE""",1,Current Employee - Anonymous Employee,"Smart People, strong product ownership.",School hires have zero visibility during team match.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
17-Aug-18,"""process assistant""",1,Current Employee - Process Assistant,stow and pick and ambassador,good people and good job at amazon i like to help people,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
27-Jul-18,"""Challenging For Recent Grad""",2,Current Employee - Anonymous Employee,"1. Talented engineers
2. Large scale projects
3. Variety of projects","1. Inconsistent onboarding
2. Poor work-life balance
3. Lack of guidance","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
